	1:Selke	(Global radiation)	DAILY								
	nodata	-9999													
	start	2010	1	1	0	0	(YYYY	MM	DD	HH	MM)
	end	2016	1	1	0	0	(YYYY	MM	DD	HH	MM)
Date	G-R
2012 11 06	4.355
2012 11 07	2.010
2012 11 08	2.134
2012 11 09	2.044
2012 11 10	1.904
2012 11 11	2.642
2012 11 12	2.244
2012 11 13	6.014
2012 11 14	5.782
2012 11 15	1.745
2012 11 16	1.716
2012 11 17	3.596
2012 11 18	1.660
2012 11 19	1.727
2012 11 20	2.484
2012 11 21	2.815
2012 11 22	4.991
2012 11 23	2.915
2012 11 24	1.513
2012 11 25	2.147
2012 11 26	2.640
2012 11 27	1.452
2012 11 28	1.433
2012 11 29	1.416
2012 11 30	1.609
2012 12 01	1.466
2012 12 02	1.367
2012 12 03	3.332
2012 12 04	1.586
2012 12 05	1.735
2012 12 06	2.007
2012 12 07	3.767
2012 12 08	2.428
2012 12 09	1.285
2012 12 10	1.276
2012 12 11	2.116
2012 12 12	1.262
2012 12 13	1.297
2012 12 14	2.263
2012 12 15	1.815
2012 12 16	1.326
2012 12 17	1.323
2012 12 18	1.240
2012 12 19	1.239
2012 12 20	1.240
2012 12 21	1.241
2012 12 22	1.242
2012 12 23	1.245
2012 12 24	1.249
2012 12 25	1.253
2012 12 26	1.694
2012 12 27	2.189
2012 12 28	3.542
2012 12 29	1.549
2012 12 30	3.342
2012 12 31	1.343
2013 01 01	1.297
2013 01 02	1.307
2013 01 03	1.319
2013 01 04	1.331
2013 01 05	1.344
2013 01 06	1.357
2013 01 07	1.372
2013 01 08	1.388
2013 01 09	1.404
2013 01 10	1.421
2013 01 11	1.488
2013 01 12	1.606
2013 01 13	4.308
2013 01 14	1.499
2013 01 15	1.521
2013 01 16	5.104
2013 01 17	1.567
2013 01 18	1.591
2013 01 19	1.617
2013 01 20	2.329
2013 01 21	1.670
2013 01 22	1.698
2013 01 23	1.727
2013 01 24	1.756
2013 01 25	1.787
2013 01 26	5.732
2013 01 27	4.932
2013 01 28	1.884
2013 01 29	4.270
2013 01 30	2.072
2013 01 31	2.109
2013 02 01	2.390
2013 02 02	2.063
2013 02 03	3.844
2013 02 04	2.708
2013 02 05	2.373
2013 02 06	3.589
2013 02 07	8.164
2013 02 08	2.439
2013 02 09	2.821
2013 02 10	2.394
2013 02 11	5.342
2013 02 12	5.566
2013 02 13	6.576
2013 02 14	4.664
2013 02 15	2.700
2013 02 16	6.312
2013 02 17	2.725
2013 02 18	2.775
2013 02 19	2.826
2013 02 20	2.878
2013 02 21	3.960
2013 02 22	3.622
2013 02 23	3.198
2013 02 24	3.091
2013 02 25	3.146
2013 02 26	3.201
2013 02 27	3.257
2013 02 28	3.313
2013 03 01	3.370
2013 03 02	6.616
2013 03 03	10.977
2013 03 04	5.358
2013 03 05	13.144
2013 03 06	13.592
2013 03 07	12.545
2013 03 08	3.783
2013 03 09	3.843
2013 03 10	3.904
2013 03 11	3.966
2013 03 12	4.622
2013 03 13	4.490
2013 03 14	13.873
2013 03 15	6.567
2013 03 16	12.028
2013 03 17	12.795
2013 03 18	5.772
2013 03 19	4.465
2013 03 20	4.635
2013 03 21	5.132
2013 03 22	5.200
2013 03 23	7.149
2013 03 24	16.488
2013 03 25	18.171
2013 03 26	17.560
2013 03 27	17.275
2013 03 28	13.651
2013 03 29	5.100
2013 03 30	5.163
2013 03 31	7.117
2013 04 01	7.195
2013 04 02	19.751
2013 04 03	13.514
2013 04 04	9.252
2013 04 05	8.003
2013 04 06	5.602
2013 04 07	7.411
2013 04 08	18.418
2013 04 09	18.887
2013 04 10	6.481
2013 04 11	6.290
2013 04 12	8.149
2013 04 13	9.771
2013 04 14	9.722
2013 04 15	13.065
2013 04 16	20.381
2013 04 17	11.959
2013 04 18	12.156
2013 04 19	21.307
2013 04 20	15.040
2013 04 21	19.813
2013 04 22	16.144
2013 04 23	8.917
2013 04 24	9.245
2013 04 25	22.730
2013 04 26	15.010
2013 04 27	16.198
2013 04 28	6.864
2013 04 29	19.150
